Orthogroup	Bombus_affinis.prot.fa.largestIsoform	Bombus_bifarius.prot.fa.largestIsoform	Bombus_pyrosoma.prot.fa.largestIsoform	Bombus_terrestris.prot.fa.largestIsoform	amellifera_eg_gene	dmelanogaster_eg_gene
OG0004375	LOC126916200	LOC117205977	LOC122565769	LOC100644998		FBgn0052645
OG0004376	LOC126916214	LOC117205912	LOC122565872	LOC100645790		FBgn0037504
OG0004377	LOC126916215	LOC117205913	LOC122565873	LOC100645670		FBgn0029648
OG0004378	LOC126916203	LOC117205910	LOC122565870	LOC100645314		FBgn0025742
OG0004379	LOC126916196	LOC117205906	LOC122565765	LOC100646218		FBgn0033686
OG0004380	LOC126916794	LOC117206063	LOC122566338	LOC100646772		FBgn0040339
OG0004381	LOC126916774	LOC117206058	LOC122566334	LOC100647013		FBgn0260446
OG0004382	LOC126916780	LOC117206060	LOC122566335	LOC100647331		FBgn0033737
OG0004383	LOC126916790	LOC117206140	LOC122578030	LOC100647690		FBgn0029943
OG0004384	LOC126916773	LOC117206138	LOC122578023	LOC100647570		FBgn0024250
OG0004385	LOC126916778	LOC117206139	LOC122578025	LOC100648011		FBgn0284435
OG0004386	LOC126916787	LOC117205984	LOC122578029	LOC100648238		FBgn0038746
OG0004387	LOC126916785	LOC117206016	LOC122578027	LOC100647014		FBgn0000611
OG0004388	LOC126916776	LOC117205895	LOC122577934	LOC100631092		FBgn0010303
OG0004389	LOC126916779	LOC117205896	LOC122577935	LOC100648932		FBgn0030321
OG0004390	LOC126916791	LOC117206027	LOC122577937	LOC100649370		FBgn0030408
OG0004391	LOC126916248	LOC117205999	LOC122565725	LOC100649050		FBgn0032169
OG0004392	LOC126916252	LOC117206121	LOC122565734	LOC100649491		FBgn0030406
OG0004393	LOC126916255	LOC117206122	LOC122565738	LOC100649992		FBgn0034299
OG0004394	LOC126916250	LOC117206144	LOC122565728	LOC100650193		FBgn0035385
OG0004395	LOC126916253	LOC117206145	LOC122565735	LOC100650358		FBgn0030421
OG0004396	LOC126916254	LOC117205939	LOC122565737	LOC100650477		FBgn0029882
OG0004397	LOC126916249	LOC117205938	LOC122565726	LOC100650595		FBgn0033935
OG0004398	LOC126916272	LOC117205882	LOC122565729	LOC100651072		FBgn0000477
OG0004399	LOC126916274	LOC117205884	LOC122565733	LOC100651193		FBgn0025615
OG0004400	LOC126916281	LOC117205889	LOC122565731	LOC100650841		FBgn0051216
OG0004401	LOC126916278	LOC117205885	LOC122565740	LOC100651792		FBgn0051155
OG0004402	LOC126916273	LOC117205883	LOC122565730	LOC100652032		FBgn0034940
OG0004403	LOC126916268	LOC117205879	LOC122565720	LOC100651672	LOC552625	
OG0004404	LOC126916271	LOC117205881	LOC122565727	LOC100651913		FBgn0011566
OG0004405	LOC126916269	LOC117206114	LOC122565723	LOC100650696		FBgn0004574
OG0004406	LOC126917008	LOC117206065	LOC122565741	LOC100649666		FBgn0026565
OG0004407	LOC126916277	LOC117206018	LOC122565736	LOC100650006		FBgn0029714
OG0004408	LOC126916282	LOC117206064	LOC122566347	LOC105666777		FBgn0036219
OG0004409	LOC126916261	LOC117205937	LOC122578019	LOC100645932		FBgn0004647
OG0004410	LOC126916266	LOC117205979	LOC122565570	LOC100651215		FBgn0003044
OG0004411	LOC126916276	LOC117206130	LOC122566240	LOC100651339		FBgn0029925
OG0004412	LOC126917848	LOC117213213	LOC122572759	LOC100649548		FBgn0031418
OG0004413	LOC126917852	LOC117213211	LOC122572760	LOC100649187		FBgn0029911
OG0004414	LOC126917842	LOC117213210	LOC122572757	LOC100651610		FBgn0010416
OG0004415	LOC126917849	LOC117213218	LOC122572287	LOC100650854		FBgn0032949
OG0004416	LOC126917846	LOC117213217	LOC122572809	LOC100642857		FBgn0016762
OG0004417	LOC126917847	LOC117213215	LOC122573234	LOC100645499		FBgn0030057
OG0004418	LOC126917840	LOC117215386	LOC122572688	LOC105665618		FBgn0002791
OG0004419	LOC126917850	LOC117215388	LOC122572690	LOC100651653		FBgn0264491
OG0004420	LOC126917845	LOC117215382	LOC122573015	LOC100643903		FBgn0266581
OG0004421	LOC126917851	LOC117215383	LOC122573118	LOC100646355		FBgn0250732
OG0004422	LOC126917284	LOC117215376	LOC122572617	LOC105666284		FBgn0052544
OG0004423	LOC126917290	LOC117215392	LOC122572620	LOC105666302		FBgn0032234
OG0004424	LOC126917264	LOC117215372	LOC122572611	LOC100647908		FBgn0061359
OG0004425	LOC126917285	LOC117215377	LOC122572618	LOC100650614		FBgn0025700
OG0004426	LOC126917244	LOC117215367	LOC122572607	LOC100650007		FBgn0029997
OG0004427	LOC126917247	LOC117215370	LOC122572608	LOC100650371		FBgn0040227
OG0004428	LOC126917239	LOC117215366	LOC122572606	LOC100650738		FBgn0033454
OG0004429	LOC126917270	LOC117215373	LOC122572612	LOC100642743		FBgn0027610
OG0004430	LOC126917276	LOC117215380	LOC122572616	LOC100642624		FBgn0086371
OG0004431	LOC126917242	LOC117212680	LOC122572477	LOC100651256		FBgn0033033
OG0004432	LOC126917249	LOC117212678	LOC122573124	LOC100651378		FBgn0010747
OG0004433	LOC126917227	LOC117212708	LOC122573120	LOC100651495		FBgn0032395
OG0004434	LOC126917240	LOC117212710	LOC122573123	LOC100651846		FBgn0035762
OG0004435	LOC126917260	LOC117212696	LOC122572945	LOC100652087		FBgn0024326
OG0004436	LOC126917280	LOC117212698	LOC122572948	LOC100652205		FBgn0032236
OG0004437	LOC126917271	LOC117212697	LOC122572946	LOC100642858		FBgn0029935
OG0004438	LOC126917288	LOC117212700	LOC122573168	LOC100647783		FBgn0050423
OG0004439	LOC126917251	LOC117208193, LOC117212693	LOC122572362	LOC125385928		
OG0004440	LOC126917262	LOC117212704	LOC122573095	LOC100643620		FBgn0261270
OG0004441	LOC126917281	LOC117212706	LOC122573096	LOC100643739		FBgn0042094
OG0004442	LOC126917253	LOC117212703	LOC122573098	LOC100643856		FBgn0038325
OG0004443	LOC126917233	LOC117212702	LOC122573097	LOC100650736		FBgn0019985
OG0004444	LOC126917258	LOC117212690	LOC122572816	LOC100650972		FBgn0030612
OG0004445	LOC126917230	LOC117212684	LOC122572812	LOC100650493		FBgn0033984
OG0004446	LOC126917246	LOC117212689	LOC122572815	LOC100650612		FBgn0040348
OG0004447	LOC126917243	LOC117212688	LOC122572814	LOC100651093		FBgn0020391
OG0004448	LOC126917265	LOC117212692	LOC122572817	LOC100651216		FBgn0030871
OG0004449	LOC126917231	LOC117212686	LOC122572813	LOC100651340		FBgn0260799
OG0004450	LOC126917269	LOC117212592	LOC122572818	LOC100648028		FBgn0038510
OG0004451	LOC126917261	LOC117212598	LOC122572450	LOC100651459		FBgn0031824
OG0004452	LOC126917245	LOC117212601	LOC122572445	LOC100651962		FBgn0262166
OG0004453	LOC126917257	LOC117212602	LOC122572447	LOC105666291		FBgn0259192
OG0004454	LOC126917263	LOC117212604	LOC122572451	LOC100652320		FBgn0031996
OG0004455	LOC126917268	LOC117212605	LOC122572453	LOC100652203		FBgn0031630
OG0004456	LOC126917267	LOC117212590	LOC122572452	LOC100652085		FBgn0032910
OG0004457	LOC126917238	LOC117212583	LOC122572442	LOC100648256		FBgn0010395
OG0004458	LOC126917241	LOC117212587	LOC122572444	LOC100642378		FBgn0033988
OG0004459	LOC126917919	LOC117212589	LOC122572461	LOC100642499		FBgn0034264
OG0004460	LOC126917918	LOC117212581	LOC122572459	LOC100642736		FBgn0085450
OG0004461	LOC126917184	LOC117207073	LOC122572392	LOC100643661		FBgn0024182
OG0004462	LOC126917176	LOC117207100	LOC122572763	LOC100643294		FBgn0040022
OG0004463	LOC126917194	LOC117207095	LOC122572773	LOC100644493		FBgn0031229
OG0004464	LOC126917191	LOC117207094	LOC122572771	LOC100644857		FBgn0025608
OG0004465	LOC126917186	LOC117207092	LOC122572768	LOC100644973		FBgn0034488
OG0004466	LOC126917209	LOC117207062	LOC122573100	LOC100645845		FBgn0036761
OG0004467	LOC126917185	LOC117207087	LOC122572696	LOC105666294		FBgn0030556
OG0004468	LOC126917869	LOC117207058	LOC122572326	LOC100646991		FBgn0037707
OG0004469	LOC126917871	LOC117207068	LOC122572804	LOC100647907		FBgn0053544
OG0004470	LOC126917872	LOC117207069	LOC122572806	LOC100648108		FBgn0010602
OG0004471	LOC126917878	LOC117207077	LOC122572801	LOC100648450		FBgn0034262
OG0004472	LOC126917875	LOC117207072	LOC122572799	LOC100648648		FBgn0086613
OG0004473	LOC126917150	LOC117211305	LOC122572275	LOC100649106		FBgn0039109
OG0004474	LOC126917156	LOC117211307	LOC122572276	LOC100649224		FBgn0050010
OG0004475	LOC126917115	LOC117211378	LOC122573184	LOC100649970		FBgn0032339
OG0004476	LOC126917155	LOC117211382	LOC122573188	LOC100650494		FBgn0267861
OG0004477	LOC126917107	LOC117211310	LOC122573183	LOC100649780		FBgn0026369
OG0004478	LOC126917134	LOC117211334	LOC122573147	LOC100649306		FBgn0032598
OG0004479	LOC126917161	LOC117211337	LOC122573155	LOC100651413		FBgn0261068
OG0004480	LOC126917158	LOC117211336	LOC122573152	LOC100651217		FBgn0020908
OG0004481	LOC126917151	LOC117211361	LOC122573151	LOC100651535		FBgn0030528
OG0004482	LOC126917135	LOC117211357	LOC122573148	LOC100651845		FBgn0027617
OG0004483	LOC126917130	LOC117211356	LOC122573131	LOC100642379		FBgn0036838
OG0004484	LOC126917129	LOC117211355	LOC122573132	LOC100642258		FBgn0037578
OG0004485	LOC126917119	LOC117211352	LOC122573130	LOC100652086		FBgn0036018
OG0004486	LOC126917140	LOC117211359	LOC122573211	LOC100642894		FBgn0032488
OG0004487	LOC126917124	LOC117211354	LOC122573208	LOC100643089		FBgn0039252
OG0004488	LOC126917154	LOC117211362	LOC122573214	LOC100643337		FBgn0036643
OG0004489	LOC126917112	LOC117211344	LOC122572403	LOC100644858		FBgn0037371
OG0004490	LOC126917149	LOC117211342	LOC122572409	LOC100645459		FBgn0029994
OG0004491	LOC126917654	LOC117211330	LOC122572404	LOC100645684		FBgn0037315
OG0004492	LOC126917655	LOC117211386	LOC122572786	LOC100646001		FBgn0284255
OG0004493	LOC126917781	LOC117211316	LOC122573193	LOC100646478		FBgn0037368
OG0004494	LOC126917780	LOC117211371	LOC122573192	LOC100646597		FBgn0029870
OG0004495	LOC126917785	LOC117211375	LOC122573196	LOC105666300		FBgn0029594
OG0004496	LOC126917777	LOC117211370	LOC122572978	LOC100646839		FBgn0003210
OG0004497	LOC126917779	LOC117211323	LOC122572432	LOC100647075		FBgn0287183
OG0004498	LOC126917778	LOC117211322	LOC122572431	LOC100646959		FBgn0029976
OG0004499	LOC126917962	LOC117207577	LOC122572301	LOC100644028		FBgn0038659
OG0004500	LOC126917963	LOC117207564	LOC122573014	LOC100643129		FBgn0039937
OG0004501	LOC126917973	LOC117207549	LOC122572419	LOC100647664		FBgn0005533
OG0004502	LOC126917730	LOC117207573	LOC122572974	LOC100644452		FBgn0001994
OG0004503	LOC126917731	LOC117207559	LOC122572975	LOC100645919		FBgn0035916
OG0004504	LOC126917924	LOC117206223	LOC122573170	LOC100643584		FBgn0053094
OG0004505	LOC126917929	LOC117206225	LOC122573172	LOC100644901		FBgn0034517
OG0004506	LOC126917925	LOC117206227	LOC122573159	LOC100648949		FBgn0037008
OG0004507	LOC126917926	LOC117206230	LOC122573160	LOC100646191		FBgn0036489
OG0004508	LOC126917930	LOC117206231	LOC122573162	LOC100650895		FBgn0036488
OG0004509	LOC126918029	LOC117206228	LOC122573158	LOC100651458		FBgn0250785
OG0004510	LOC126917495	LOC117206255	LOC122572370	LOC100644935		FBgn0002716
OG0004511	LOC126917496	LOC117206256	LOC122573228	LOC100642735		FBgn0014179
OG0004512	LOC126917305	LOC117206232	LOC122572503	LOC100646958		FBgn0037363
OG0004513	LOC126917336	LOC117206235	LOC122572508	LOC110119170		FBgn0032129
OG0004514	LOC126917309	LOC117206233	LOC122572504	LOC100647906		FBgn0032129
OG0004515	LOC126917337	LOC117206234	LOC122572507	LOC100648950		FBgn0032652
OG0004516	LOC126917327	LOC117206268	LOC122572505	LOC100650123	LOC726903	
OG0004517	LOC126917335	LOC117206264	LOC122572506	LOC100650370		FBgn0034978
OG0004518	LOC126917331	LOC117206296	LOC122572845	LOC100642856		FBgn0031987
OG0004519	LOC126917317	LOC117206239	LOC122573056	LOC100643250		FBgn0028541
OG0004520	LOC126917332	LOC117206247	LOC122573061	LOC100644070		FBgn0266172
OG0004521	LOC126917323	LOC117206244	LOC122573059	LOC100643818		FBgn0286027
OG0004522	LOC126917320	LOC117206241	LOC122573057	LOC100643946		FBgn0034279
OG0004523	LOC126917334	LOC117206246	LOC122572349	LOC100644184		FBgn0029514
OG0004524	LOC126917318	LOC117206240	LOC122572346	LOC100644374		FBgn0035918
OG0004525	LOC126917333	LOC117206248	LOC122572348	LOC100644612		FBgn0023174
OG0004526	LOC126917329	LOC117206245	LOC122572347	LOC100644971		FBgn0032646
OG0004527	LOC126917953	LOC117206288	LOC122573101	LOC100645091		FBgn0032651
OG0004528	LOC126917939	LOC117206286	LOC122572819	LOC100645208		FBgn0261647
OG0004529	LOC126917938	LOC117206269	LOC122572309	LOC100645918		FBgn0086451
OG0004530	LOC126917954	LOC117206273	LOC122572311	LOC100646234		FBgn0036107
OG0004531	LOC126917949	LOC117206272	LOC122572310	LOC100646033		FBgn0027615
OG0004532	LOC126917946	LOC117213001	LOC122572826	LOC100647071		FBgn0040080
OG0004533	LOC126917952	LOC117212974	LOC122572366	LOC100644098		FBgn0000411
OG0004534	LOC126917561	LOC117212961	LOC122572737	LOC100647427		FBgn0013563
OG0004535	LOC126917567	LOC117212987	LOC122572739	LOC100647543		FBgn0015625
OG0004536	LOC126917562	LOC117212962	LOC122572723	LOC100647867		FBgn0030055
OG0004537	LOC126917579	LOC117212965	LOC122572733	LOC105666243		FBgn0010422
OG0004538	LOC126917564	LOC117212976	LOC122572725	LOC100648061		FBgn0040347
OG0004539	LOC126917578	LOC117212977	LOC122572734, LOC122572736	LOC100645417		
OG0004540	LOC126917569	LOC117212980	LOC122572727	LOC100648173		FBgn0015296
OG0004541	LOC126917582	LOC117212996	LOC122572735	LOC100648368		FBgn0036964
OG0004542	LOC126917583	LOC117212997	LOC122572879	LOC105666244		FBgn0010213
OG0004543	LOC126917581	LOC117212995	LOC122572878	LOC100648910		FBgn0053506
OG0004544	LOC126917560	LOC117212972	LOC122572875	LOC100648795		FBgn0034854
OG0004545	LOC126917563	LOC117212989	LOC122572280	LOC100649185		FBgn0031492
OG0004546	LOC126917618	LOC117208835	LOC122572281	LOC100642390		FBgn0037138
OG0004547	LOC126917620	LOC117208836	LOC122572986	LOC100649304		FBgn0029962
OG0004548	LOC126917615	LOC117208833	LOC122572989	LOC100649545		FBgn0038588
OG0004549	LOC126917613	LOC117208831	LOC122572988	LOC100645884		FBgn0027783
OG0004550	LOC126917621	LOC117208794	LOC122572993	LOC100649969		FBgn0039697
OG0004551	LOC126918020	LOC117208764	LOC122573001	LOC100650570		FBgn0039488
OG0004552	LOC126918021	LOC117208766	LOC122573002	LOC100650694		FBgn0039145
OG0004553	LOC126918012	LOC117208768	LOC122572679	LOC100651609		FBgn0035024
OG0004554	LOC126918010	LOC117208812	LOC122572678	LOC100651377		FBgn0031051
OG0004555	LOC126918019	LOC117208816	LOC122572685	LOC100652084		FBgn0039301
OG0004556	LOC126918009	LOC117208811	LOC122572677	LOC100646000		FBgn0250850
OG0004557	LOC126918017	LOC117208798	LOC122572684	LOC100642292		FBgn0031005
OG0004558	LOC126917892	LOC117208759	LOC122572353	LOC100642530		FBgn0013953
OG0004559	LOC126917887	LOC117208747	LOC122573103	LOC100643251		FBgn0001308
OG0004560	LOC126917891	LOC117208748	LOC122573105	LOC100643496		FBgn0034447
OG0004561	LOC126917889	LOC117208823	LOC122573104	LOC100643619		FBgn0030720
OG0004562	LOC126917604	LOC117208782	LOC122572296	LOC105666248		FBgn0033814
OG0004563	LOC126917603	LOC117208781	LOC122572293	LOC100646307		FBgn0026876
OG0004564	LOC126917610	LOC117208785	LOC122572836	LOC100646990		FBgn0024986
OG0004565	LOC126917600	LOC117208779	LOC122572830	LOC100647157		FBgn0020616
OG0004566	LOC126918002	LOC117208789	LOC122572834	LOC100647513		FBgn0031189
OG0004567	LOC126918038	LOC117208795	LOC122573199	LOC100647633		FBgn0004657
OG0004568	LOC126918059	LOC117208756	LOC122573203	LOC100646596		FBgn0037852
OG0004569	LOC126918055	LOC117208755	LOC122573201	LOC100647868		FBgn0037370
OG0004570	LOC126918035	LOC117212533	LOC122572566	LOC100648408		FBgn0002441
OG0004571	LOC126918034	LOC117212520	LOC122572565	LOC100648646		FBgn0265002
OG0004572	LOC126918045	LOC117212576	LOC122572572	LOC100648759		FBgn0027497
OG0004573	LOC126918063	LOC117212607	LOC122572577	LOC100648989		FBgn0015359
OG0004574	LOC126917501	LOC117211708	LOC122572579	LOC100646719		FBgn0034501
OG0004575	LOC126918056	LOC117212271	LOC122572574	LOC100646838		FBgn0028375
OG0004576	LOC126918058	LOC117212265	LOC122572575	LOC100649889		FBgn0031677
OG0004577	LOC126918037	LOC117213564	LOC122572568	LOC100649777		FBgn0032467
OG0004578	LOC126918043	LOC117213570	LOC122572570	LOC100650335		FBgn0023536
OG0004579	LOC126918061	LOC117214053	LOC122572673	LOC100651048		FBgn0024227
OG0004580	LOC126918050	LOC117214008	LOC122572668	LOC100650934		FBgn0031227
OG0004581	LOC126918042	LOC117213989	LOC122572666	LOC100650695		FBgn0026634
OG0004582	LOC126918068	LOC117214068	LOC122572675	LOC100651456		FBgn0026316
OG0004583	LOC126918112	LOC117212257	LOC122572672	LOC100642223		FBgn0037279
OG0004584	LOC126918098	LOC117212248	LOC122572667	LOC100652250		FBgn0035627
OG0004585	LOC126918122	LOC117212880	LOC122572871	LOC100642464		FBgn0013750
OG0004586	LOC126918089	LOC117212789	LOC122572863	LOC100652011		FBgn0034271
OG0004587	LOC126918109	LOC117212808	LOC122572866	LOC100642701		FBgn0051301
OG0004588	LOC126918119	LOC117212862	LOC122572869	LOC100643376		FBgn0031639
OG0004589	LOC126918114	LOC117212817	LOC122572868	LOC100643130		FBgn0031360
OG0004590	LOC126918115	LOC117213940	LOC122572852	LOC100643820		FBgn0039212
OG0004591	LOC126918116	LOC117213957	LOC122572853	LOC105666253		FBgn0027496
OG0004592	LOC126918097	LOC117213915	LOC122572849	LOC100644027		FBgn0038934
OG0004593	LOC126918087	LOC117213905	LOC122572847	LOC100644215		FBgn0030354
OG0004594	LOC126918092	LOC117211608	LOC122572848	LOC100644613		FBgn0001987
OG0004595	LOC126918100	LOC117212722	LOC122572885	LOC100645092		FBgn0003124
OG0004596	LOC126918083	LOC117212701	LOC122572467	LOC100645726		FBgn0035162
OG0004597	LOC126918102	LOC117212072	LOC122573083	LOC100645957		FBgn0039336
OG0004598	LOC126918105	LOC117211744	LOC122573085	LOC100647072		FBgn0031286
OG0004599	LOC126918085	LOC117211720	LOC122573079	LOC100646512		FBgn0039004
OG0004600	LOC126918117	LOC117210672	LOC122572962	LOC100647191		FBgn0037270
OG0004601	LOC126918111	LOC117210667	LOC122572961	LOC100647306		FBgn0031050
OG0004602	LOC126918118	LOC117212784	LOC122572957	LOC100647428		FBgn0028693
OG0004603	LOC126918106	LOC117211098	LOC122572956	LOC100647544		FBgn0029176
OG0004604	LOC126918121	LOC117211105	LOC122572958	LOC100647665		FBgn0030433
OG0004605	LOC126917706	LOC117211252	LOC122573091	LOC100647815		FBgn0023526
OG0004606	LOC126917716	LOC117212933	LOC122573092	LOC100647666		FBgn0030584
OG0004607	LOC126917705	LOC117213840	LOC122572857	LOC105665622		FBgn0031904
OG0004608	LOC126917710	LOC117213847	LOC122572858	LOC100647936		FBgn0038074
OG0004609	LOC126917711	LOC117214286	LOC122572859	LOC100648175		FBgn0250791
OG0004610	LOC126917719	LOC117214299	LOC122572856	LOC100648291		FBgn0029977
OG0004611	LOC126917701	LOC117214225	LOC122572489	LOC100648873		FBgn0034585
OG0004612	LOC126917691	LOC117213378	LOC122572481	LOC100649343		FBgn0027503
OG0004613	LOC126917693	LOC117213388	LOC122572482	LOC100650491		FBgn0036828
OG0004614	LOC126917697	LOC117213417	LOC122572486	LOC100650368		FBgn0035518
OG0004615	LOC126917699	LOC117213455	LOC122572423	LOC100650853		FBgn0031149
OG0004616	LOC126917690	LOC117213371	LOC122572422	LOC100650735		FBgn0036448
OG0004617	LOC126917625	LOC117211186	LOC122572890	LOC100651214		FBgn0250907
OG0004618	LOC126917630	LOC117211199	LOC122572891	LOC100651338		FBgn0028563
OG0004619	LOC126917635	LOC117211223	LOC122572893	LOC100651813		FBgn0033903
OG0004620	LOC126917636	LOC117211240	LOC122572894	LOC100652049		FBgn0031873
OG0004621	LOC126917632	LOC117211373	LOC122572892	LOC100651694		FBgn0027621
OG0004622	LOC126917628	LOC117212291	LOC122573218	LOC100651457		FBgn0031399
OG0004623	LOC126917631	LOC117214104	LOC122573220	LOC100652288		FBgn0036402
OG0004624	LOC126917637	LOC117214128	LOC122573222	LOC100642376		FBgn0032596
OG0004625	LOC126917438	LOC117211510	LOC122572516	LOC100643008		FBgn0265512
OG0004626	LOC126917540	LOC117211491	LOC122572513	LOC100643776		FBgn0266670
OG0004627	LOC126917544	LOC117211503	LOC122572517	LOC100643901		FBgn0030456
OG0004628	LOC126917546	LOC117211560	LOC122572472	LOC100644413		FBgn0038053
OG0004629	LOC126917552	LOC117211671	LOC122573006	LOC100648718		FBgn0064116
OG0004630	LOC126917551	LOC117211666	LOC122573005	LOC100644774		FBgn0038396
OG0004631	LOC126917545	LOC117212461	LOC122573087	LOC100644651		FBgn0039631
OG0004632	LOC126917547	LOC117212463	LOC122572559, LOC122572560	LOC100645458		
OG0004633	LOC126917934	LOC117212448	LOC122572557	LOC100646071		FBgn0033761
OG0004634	LOC126917935	LOC117213772	LOC122572558	LOC100645883		FBgn0036300
OG0004635	LOC126917932	LOC117213718	LOC122572551	LOC100645767		FBgn0038660
OG0004636	LOC126917793	LOC117213708	LOC122572743	LOC100646513		FBgn0029840
OG0004637	LOC126917803	LOC117213728	LOC122572744	LOC105665630		FBgn0038809
OG0004638	LOC126917818	LOC117211179	LOC122572750	LOC100647073		FBgn0038110
OG0004639	LOC126917791	LOC117211146	LOC122572740	LOC100646957		FBgn0038344
OG0004640	LOC126917817	LOC117214478	LOC122572749	LOC105666265		FBgn0033784
OG0004641	LOC126917794	LOC117213113	LOC122572623	LOC100649186		FBgn0266282
OG0004642	LOC126917824	LOC117213319	LOC122572641	LOC100649305	LOC100578061	
OG0004643	LOC126917800	LOC117213171	LOC122572628	LOC100649146		FBgn0039348
OG0004644	LOC126917815	LOC117213281	LOC122572636	LOC100650122		FBgn0031062
OG0004645	LOC126917806	LOC117213223	LOC122572631	LOC100650005		FBgn0025373
OG0004646	LOC126917827	LOC117213330	LOC122572642	LOC100650369		FBgn0030292
OG0004647	LOC126917829	LOC117213337	LOC122572643	LOC100650247		FBgn0061198
OG0004648	LOC126917796	LOC117213127	LOC122572625	LOC100649778		FBgn0033924
OG0004649	LOC126917647	LOC117214671	LOC122573263	LOC100645603		FBgn0037900
OG0004650	LOC126917646	LOC117214655	LOC122573261	LOC100646794		FBgn0020248
OG0004651	LOC126917644	LOC117212395	LOC122572271	LOC100645383		FBgn0031710
OG0004652	LOC126917642	LOC117211422	LOC122572270	LOC100645257		FBgn0263038
OG0004653	LOC126917645	LOC117211451	LOC122572466	LOC100645133		FBgn0027363
OG0004654	LOC126917992	LOC117212284	LOC122573181	LOC100645018		FBgn0287234
OG0004655	LOC126917990	LOC117212278	LOC122573178	LOC100644773		FBgn0086445
OG0004656	LOC126917514	LOC117212993	LOC122573076	LOC100643978		FBgn0034503
OG0004657	LOC126917511	LOC117212953	LOC122573072	LOC100646672		FBgn0033005
OG0004658	LOC126917524	LOC117211923	LOC122572995	LOC100643128		FBgn0031321
OG0004659	LOC126917533	LOC117211950	LOC122572996	LOC100643005		FBgn0034350
OG0004660	LOC126917529	LOC117211961	LOC122572434	LOC100642766		FBgn0025394
OG0004661	LOC126917522	LOC117210841	LOC122573116	LOC100642528		FBgn0038723
OG0004662	LOC126917519	LOC117210835	LOC122572937	LOC100651929		FBgn0036258
OG0004663	LOC126917520	LOC117214370	LOC122572938	LOC100651652		FBgn0038552
OG0004664	LOC126917532	LOC117214386	LOC122572942	LOC105666221		FBgn0286786
OG0004665	LOC126917525	LOC117214380	LOC122572940	LOC100651812		FBgn0263607
OG0004666	LOC126917521	LOC117212264	LOC122572939	LOC100651534		FBgn0004359
OG0004667	LOC126917457	LOC117214564	LOC122572321	LOC100651090		FBgn0036273
OG0004668	LOC126917454	LOC117214508	LOC122572339	LOC100650609		FBgn0030366
OG0004669	LOC126917462	LOC117214531	LOC122572340	LOC100651292		FBgn0029823
OG0004670	LOC126917469	LOC117210707	LOC122572338	LOC100652048		FBgn0086605
OG0004671	LOC126917464	LOC117210680	LOC122573110	LOC100651412		FBgn0038815
OG0004672	LOC126917450	LOC117212121, LOC117214410	LOC122572905	LOC100650490		
OG0004673	LOC126917468	LOC117211329	LOC122572302	LOC100650294		FBgn0052066
OG0004674	LOC126917463	LOC117212308	LOC122572971	LOC100650049		FBgn0043799
OG0004675	LOC126917458	LOC117211807	LOC122572714	LOC100649742		FBgn0037382
OG0004676	LOC126917455	LOC117211752	LOC122572713	LOC100649221		FBgn0029006
OG0004677	LOC126917475	LOC117211910	LOC122572715	LOC100649341		FBgn0031146
OG0004678	LOC126917471	LOC117211873	LOC122572709	LOC105666216		FBgn0038737
OG0004679	LOC126917467	LOC117211855	LOC122572706	LOC100648871		FBgn0037648
OG0004680	LOC126917472	LOC117211878	LOC122572708	LOC100648758		FBgn0035952
OG0004681	LOC126917456	LOC117211772	LOC122572305	LOC100647987		FBgn0000283
OG0004682	LOC126917073	LOC117210778	LOC122572536	LOC100650852		FBgn0016672
OG0004683	LOC126917057	LOC117210751	LOC122572533	LOC100644335		FBgn0020018
OG0004684	LOC126917092	LOC117210806	LOC122572544	LOC105666213		FBgn0032847
OG0004685	LOC126917085	LOC117210804	LOC122572540	LOC100646306		FBgn0050499
OG0004686	LOC126917091	LOC117211060	LOC122572543	LOC100647038		FBgn0033550
OG0004687	LOC126917047	LOC117211013	LOC122572530	LOC100649544		FBgn0037467
OG0004688	LOC126917081	LOC117212653, LOC117213955	LOC122572897	LOC100645566		
OG0004689	LOC126917049	LOC117213978	LOC122573113	LOC100645682		FBgn0010356
OG0004690	LOC126917078	LOC117213945	LOC122572928	LOC100643052		FBgn0032244
OG0004691	LOC126917059	LOC117213944	LOC122572917	LOC100644611		FBgn0030554
OG0004692	LOC126917043	LOC117213956	LOC122572911	LOC100646716		FBgn0001179
OG0004693	LOC126917066	LOC117213958	LOC122572921	LOC100647986		FBgn0067102
OG0004694	LOC126917045	LOC117214040	LOC122572913	LOC100644183		FBgn0263005
OG0004695	LOC126917068	LOC117214046	LOC122572923	LOC100647935		FBgn0028436
OG0004696	LOC126917083	LOC117214051	LOC122572929	LOC100647700		FBgn0037185
OG0004697	LOC126917038	LOC117214037	LOC122572909	LOC100650451		FBgn0034498
OG0004698	LOC126917042	LOC117214038	LOC122572910	LOC100642815		FBgn0028695
OG0004699	LOC126917044	LOC117214039	LOC122572912	LOC100651691		FBgn0022942
OG0004700	LOC126917062	LOC117214045	LOC122572919	LOC100648060		FBgn0025574
OG0004701	LOC126917074	LOC117214048	LOC122572924	LOC100648220		FBgn0036734
OG0004702	LOC126917051	LOC117214041	LOC122572914	LOC100648367		FBgn0037770
OG0004703	LOC126917060	LOC117214044	LOC122572918	LOC100648794		FBgn0052076
OG0004704	LOC126917065	LOC117213997	LOC122572922	LOC100648909		FBgn0035056
