HOG	OG	Gene Tree Parent Clade	Bombus_affinis	Bombus_bifarius	Bombus_pyrosoma	Bombus_terrestris
N0.HOG0006138	OG0005882	n0	LOC126921436	LOC117211064	LOC122573887	LOC100649268
N0.HOG0006139	OG0005883	n0	LOC126921440	LOC117211095	LOC122573890	LOC100648952
N0.HOG0006140	OG0005884	n0	LOC126921425	LOC117211093	LOC122573883	LOC100648836
N0.HOG0006141	OG0005885	n0	LOC126921418	LOC117211092	LOC122573882	LOC100648605
N0.HOG0006142	OG0005886	n0	LOC126921429	LOC117211094	LOC122573884	LOC100648485
N0.HOG0006143	OG0005887	n0	LOC126921419	LOC117208264	LOC122573649	LOC100649702
N0.HOG0006144	OG0005888	n0	LOC126921443	LOC117208269	LOC122573655	LOC100648109
N0.HOG0006145	OG0005889	n0	LOC126921442	LOC117208268	LOC122573654	LOC100648222
N0.HOG0006146	OG0005890	n0	LOC126921447	LOC117208270	LOC122573657	LOC100648334
N0.HOG0006147	OG0005891	n0	LOC126921422	LOC117208265	LOC122573652	LOC100647869
N0.HOG0006148	OG0005892	n0	LOC126921438	LOC117208267	LOC122573653	LOC100647989
N0.HOG0006149	OG0005893	n0	LOC126921421	LOC117208274	LOC122573651	LOC100647310
N0.HOG0006150	OG0005894	n0	LOC126921441	LOC117208277	LOC122573648	LOC100647431
N0.HOG0006151	OG0005895	n0	LOC126921433	LOC117208276	LOC122573647	LOC100649588
N0.HOG0006152	OG0005896	n0	LOC126921423	LOC117208275	LOC122573453	LOC100649463
N0.HOG0006153	OG0005897	n0	LOC126921446	LOC117208278	LOC122573454	LOC100647747
N0.HOG0006154	OG0005898	n0	LOC126921417	LOC117208282	LOC122573953	LOC100649345
N0.HOG0006155	OG0005899	n0	LOC126921431	LOC117208227	LOC122573954	LOC100647112
N0.HOG0006156	OG0005900	n0	LOC126921276	LOC117208228	LOC122573716	LOC105666329
N0.HOG0006157	OG0005901	n0	LOC126921448	LOC117208240	LOC122573276	LOC100646992
N0.HOG0006158	OG0005902	n0	LOC126921430	LOC117208229	LOC122573893	LOC105666328
N0.HOG0006159	OG0005903	n0	LOC126921426	LOC117208261	LOC122573840	LOC100649225
N0.HOG0006160	OG0005904	n0	LOC126921428	LOC117208216	LOC122573446	LOC100646431
N0.HOG0006161	OG0005905	n0	LOC126921416	LOC117208224	LOC122573455	LOC100649107
N0.HOG0006162	OG0005906	n0	LOC126921479	LOC117208254	LOC122573991	LOC100646311
N0.HOG0006163	OG0005907	n0	LOC126921462	LOC117208219	LOC122573975	LOC100645769
N0.HOG0006164	OG0005908	n0	LOC126921465	LOC117208220	LOC122573977	LOC100646002
N0.HOG0006165	OG0005909	n0	LOC126921484	LOC117208223	LOC122573980	LOC100646193
N0.HOG0006166	OG0005910	n0	LOC126921460	LOC117208218	LOC122573976	LOC100648992
N0.HOG0006167	OG0005911	n0	LOC126921482	LOC117208222	LOC122573978	LOC105666319
N0.HOG0006168	OG0005912	n0	LOC126921461	LOC117208225	LOC122573305	LOC100645648
N0.HOG0006169	OG0005913	n0	LOC126921471	LOC117208226	LOC122573306	LOC100645460
N0.HOG0006170	OG0005914	n0	LOC126921466	LOC117208272	LOC122573812	LOC100648875
N0.HOG0006171	OG0005915	n0	LOC126921475	LOC117208273	LOC122573814	LOC100651062
N0.HOG0006172	OG0005916	n0	LOC126921473	LOC117208252	LOC122573813	LOC100645340
N0.HOG0006173	OG0005917	n0	LOC126921456	LOC117208217	LOC122573314	LOC100645056
N0.HOG0006174	OG0005918	n0	LOC126921464	LOC117208232	LOC122573412	LOC100644690
N0.HOG0006175	OG0005919	n0	LOC126921467	LOC117208294	LOC122573800	LOC100644572
N0.HOG0006176	OG0005920	n0	LOC126921477	LOC117208296	LOC122573803	LOC100644455
N0.HOG0006177	OG0005921	n0	LOC126921457	LOC117208292	LOC122573799	LOC100648762
N0.HOG0006178	OG0005922	n0	LOC126921472	LOC117208295	LOC122573802	LOC100644099
N0.HOG0006179	OG0005923	n0	LOC126921481	LOC117208260	LOC122573449	LOC100644691
N0.HOG0006180	OG0005924	n0	LOC126921458	LOC117208256	LOC122573521	LOC100643982
N0.HOG0006181	OG0005925	n0	LOC126921470	LOC117208258	LOC122573525	LOC100644339
N0.HOG0006182	OG0005926	n0	LOC126921469	LOC117208257	LOC122573524	LOC100644220
N0.HOG0006183	OG0005927	n0	LOC126921474	LOC117208259	LOC122573526	LOC100644456
N0.HOG0006184	OG0005928	n0	LOC126921455	LOC117208202	LOC122573519	LOC100643741
N0.HOG0006185	OG0005929	n0	LOC126921508	LOC117208246	LOC122573523	LOC105666314
N0.HOG0006186	OG0005930	n0	LOC126921497	LOC117208242	LOC122573789	LOC100643378
N0.HOG0006187	OG0005931	n0	LOC126921516	LOC117208248	LOC122573793	LOC100643498
N0.HOG0006188	OG0005932	n0	LOC126921511	LOC117208247	LOC122573792	LOC100643622
N0.HOG0006189	OG0005933	n0	LOC126921546	LOC117208250	LOC122573796	LOC100643254
N0.HOG0006190	OG0005934	n0	LOC126921502	LOC117208245	LOC122573790	LOC100648528
N0.HOG0006191	OG0005935	n0	LOC126921498	LOC117208244	LOC122573797	LOC100648410
N0.HOG0006192	OG0005936	n0	LOC126921517	LOC117208249	LOC122573794	LOC100643131
N0.HOG0006193	OG0005937	n0	LOC126921507	LOC117208233	LOC122573428	LOC100643010
N0.HOG0006194	OG0005938	n0	LOC126921510	LOC117208207	LOC122573429	LOC100642895
N0.HOG0006195	OG0005939	n0	LOC126921503	LOC117208204	LOC122573425	LOC100651847
N0.HOG0006196	OG0005940	n0	LOC126921514	LOC117208208	LOC122573431	LOC100652170
N0.HOG0006197	OG0005941	n0	LOC126921550	LOC117208213	LOC122573435	LOC100648292
N0.HOG0006198	OG0005942	n0	LOC126921506	LOC117208205	LOC122573427	LOC100648176
N0.HOG0006199	OG0005943	n0	LOC126921521	LOC117208209	LOC122573433	LOC100651726
N0.HOG0006200	OG0005944	n0	LOC126921526	LOC117208210	LOC122573432	LOC100652290
N0.HOG0006201	OG0005945	n0	LOC126921530	LOC117208211	LOC122573434	LOC100648064
N0.HOG0006202	OG0005946	n0	LOC126921277	LOC117208230	LOC122573715	LOC100647937
N0.HOG0006203	OG0005947	n0	LOC126921504	LOC117208206	LOC122573426	LOC100650050
N0.HOG0006204	OG0005948	n0	LOC126921543	LOC117208301	LOC122573542	LOC100647701
N0.HOG0006205	OG0005949	n0	LOC126921529	LOC117208300	LOC122573538	LOC100651257
N0.HOG0006206	OG0005950	n0	LOC126921501	LOC117208299	LOC122573531	LOC100647587
N0.HOG0006207	OG0005951	n0	LOC126921500	LOC117208298	LOC122573532	LOC100646479
N0.HOG0006208	OG0005952	n0	LOC126921515	LOC117208285	LOC122573534	LOC105666311
N0.HOG0006209	OG0005953	n0	LOC126921512	LOC117208284	LOC122573533	LOC100647816
N0.HOG0006210	OG0005954	n0	LOC126921547	LOC117208289	LOC122573543	LOC100648649
N0.HOG0006211	OG0005955	n0	LOC126921542	LOC117208288	LOC122573541	LOC100643740
N0.HOG0006212	OG0005956	n0	LOC126921519	LOC117208286	LOC122573535	LOC100642650
N0.HOG0006213	OG0005957	n0	LOC126921522	LOC117208215	LOC122573537	LOC100651171
N0.HOG0006214	OG0005958	n0	LOC126921523	LOC117208239	LOC122573411	LOC100648720
N0.HOG0006215	OG0005959	n0	LOC126921535	LOC117208236	LOC122573780	LOC100647634
N0.HOG0006216	OG0005960	n0	LOC126921545	LOC117208237	LOC122573781	LOC100646553
N0.HOG0006217	OG0005961	n0	LOC126921525	LOC117208235	LOC122573777	LOC100642769
N0.HOG0006218	OG0005962	n0	LOC126921524	LOC117212134	LOC122573774	LOC100644219
N0.HOG0006219	OG0005963	n0	LOC126921531	LOC117212136	LOC122573779	LOC100643858
N0.HOG0006220	OG0005964	n0	LOC126921527	LOC117212137	LOC122573778	LOC105666309
N0.HOG0006221	OG0005965	n0	LOC126921528	LOC117212135	LOC122573776	LOC100652206
N0.HOG0006222	OG0005966	n0	LOC126921518	LOC117212138	LOC122573773	LOC100652051
N0.HOG0006223	OG0005967	n0	LOC126921016	LOC117212630	LOC122573389	LOC100652089
N0.HOG0006224	OG0005968	n0	LOC126920982	LOC117212620	LOC122573376	LOC100649308
N0.HOG0006225	OG0005969	n0	LOC126921021	LOC117212624	LOC122573390	LOC105666332
N0.HOG0006226	OG0005970	n0	LOC126920995	LOC117212621	LOC122573380	LOC100650052
N0.HOG0006227	OG0005971	n0	LOC126921007	LOC117212622	LOC122573384	LOC100647817
N0.HOG0006228	OG0005972	n0	LOC126921006	LOC117212623	LOC122573386	LOC100648993
N0.HOG0006229	OG0005973	n0	LOC126920984	LOC117212635	LOC122573377	LOC100646154
N0.HOG0006230	OG0005974	n0	LOC126921000	LOC117212640	LOC122573385	LOC100645172
N0.HOG0006231	OG0005975	n0	LOC126921014	LOC117212643	LOC122573388	LOC100646480
N0.HOG0006232	OG0005976	n0	LOC126920998	LOC117212639	LOC122573383	LOC100642581
N0.HOG0006233	OG0005977	n0	LOC126920987	LOC117212645	LOC122573381	LOC100644735
N0.HOG0006234	OG0005978	n0	LOC126920988	LOC117212636	LOC122573379	LOC100648411
N0.HOG0006235	OG0005979	n0	LOC126920983	LOC117212633	LOC122573370	LOC100647077
N0.HOG0006236	OG0005980	n0	LOC126921280	LOC117212644	LOC122573374	LOC100649589
N0.HOG0006237	OG0005981	n0	LOC126920996	LOC117212637	LOC122573371	LOC100643338
N0.HOG0006238	OG0005982	n0	LOC126920979	LOC117212618	LOC122573369	LOC100643586
N0.HOG0006239	OG0005983	n0	LOC126921281	LOC117212619	LOC122573373	LOC100646994
N0.HOG0006240	OG0005984	n0	LOC126921005	LOC117212627	LOC122573367	LOC100645685
N0.HOG0006241	OG0005985	n0	LOC126921023	LOC117206420	LOC122573868	LOC100646752
N0.HOG0006242	OG0005986	n0	LOC126920991	LOC117206396	LOC122573920	LOC100648066
N0.HOG0006243	OG0005987	n0	LOC126920999	LOC117206403	LOC122573928	LOC100647114
N0.HOG0006244	OG0005988	n0	LOC126921009	LOC117206408	LOC122573933	LOC100650822
N0.HOG0006245	OG0005989	n0	LOC126921022	LOC117206414	LOC122573940	LOC100652323
N0.HOG0006246	OG0005990	n0	LOC126921011	LOC117206410	LOC122573935	LOC100643256
N0.HOG0006247	OG0005991	n0	LOC126921004	LOC117206407	LOC122573932	LOC100644616
N0.HOG0006248	OG0005992	n0	LOC126921003	LOC117206406	LOC122573931	LOC100645888
N0.HOG0006249	OG0005993	n0	LOC126921001	LOC117206404	LOC122573929	LOC100648651
N0.HOG0006250	OG0005994	n0	LOC126921002	LOC117206405	LOC122573930	LOC100643869
N0.HOG0006251	OG0005995	n0	LOC126921013	LOC117206411	LOC122573936	LOC100650126
N0.HOG0006252	OG0005996	n0	LOC126920989	LOC117206402	LOC122573926	LOC100651341
N0.HOG0006253	OG0005997	n0	LOC126920986	LOC117206415	LOC122573941	LOC100647233
N0.HOG0006254	OG0005998	n0	LOC126921015	LOC117206413	LOC122573938	LOC100644341
N0.HOG0006255	OG0005999	n0	LOC126920990	LOC117206395	LOC122573923	LOC100645806
N0.HOG0006256	OG0006000	n0	LOC126920994	LOC117206399	LOC122573919	LOC100647352
N0.HOG0006257	OG0006001	n0	LOC126920980	LOC117206394	LOC122573918	LOC100648412
N0.HOG0006258	OG0006002	n0	LOC126921282	LOC117206412	LOC122573937	LOC100647589
N0.HOG0006259	OG0006003	n0	LOC126921102	LOC117206351	LOC122573925	LOC100649466
N0.HOG0006260	OG0006004	n0	LOC126921104	LOC117206349	LOC122573927	LOC100650657
N0.HOG0006261	OG0006005	n0	LOC126921105	LOC117206370	LOC122573894	LOC100651498
N0.HOG0006262	OG0006006	n0	LOC126921099	LOC117206368	LOC122573490	LOC100645297
N0.HOG0006263	OG0006007	n0	LOC126921112	LOC117206377	LOC122573495	LOC100645770
N0.HOG0006264	OG0006008	n0	LOC126921117	LOC117206386	LOC122573504	LOC105666333
N0.HOG0006265	OG0006009	n0	LOC126921093	LOC117206363	LOC122573486	LOC100642972
N0.HOG0006266	OG0006010	n0	LOC126921097	LOC117206367	LOC122573489	LOC100647474
N0.HOG0006267	OG0006011	n0	LOC126921107	LOC117206373	LOC122573493	LOC105666334
N0.HOG0006268	OG0006012	n0	LOC126921096	LOC117206365	LOC122573488	LOC100643213
N0.HOG0006269	OG0006013	n0	LOC126921114	LOC117206380	LOC122573499	LOC100645533
N0.HOG0006270	OG0006014	n0	LOC126921111	LOC117206383	LOC122573502	LOC100645649
N0.HOG0006271	OG0006015	n0	LOC126921113	LOC117206379	LOC122573498	LOC100645419
N0.HOG0006272	OG0006016	n0	LOC126921115	LOC117206382	LOC122573500	LOC100645886
N0.HOG0006273	OG0006017	n0	LOC126921108	LOC117206374	LOC122573494	LOC100645057
N0.HOG0006274	OG0006018	n0	LOC126921116	LOC117206385	LOC122573503	LOC100646003
N0.HOG0006275	OG0006019	n0	LOC126921103	LOC117206369	LOC122573491	LOC100644817
N0.HOG0006276	OG0006020	n0	LOC126921106	LOC117206372	LOC122573492	LOC100644937
N0.HOG0006277	OG0006021	n0	LOC126921094	LOC117206366	LOC122573828	LOC100643091
N0.HOG0006278	OG0006022	n0	LOC126921109	LOC117206375	LOC122573830	LOC105666335
N0.HOG0006279	OG0006023	n0	LOC126921110	LOC117206376	LOC122573833	LOC100646357
N0.HOG0006280	OG0006024	n0	LOC126921100	LOC117206338	LOC122573829	LOC100646238
N0.HOG0006281	OG0006025	n0	LOC126921098	LOC117206337	LOC122573834	LOC100646122
N0.HOG0006282	OG0006026	n0	LOC126921404	LOC117206416	LOC122573832	LOC100646599
N0.HOG0006283	OG0006027	n0	LOC126921172	LOC117206360	LOC122573820	LOC100646721
N0.HOG0006284	OG0006028	n0	LOC126921161	LOC117206441	LOC122573356	LOC100646960
N0.HOG0006285	OG0006029	n0	LOC126921163	LOC117206335	LOC122573836	LOC105666336
N0.HOG0006286	OG0006030	n0	LOC126921151	LOC117206334	LOC122573352	LOC100646840
N0.HOG0006287	OG0006031	n0	LOC126921168	LOC117206442	LOC122573360	LOC100647076
N0.HOG0006288	OG0006032	n0	LOC126921159	LOC117206431	LOC122573355	LOC100647703
N0.HOG0006289	OG0006033	n0	LOC126921183	LOC117206439	LOC122573365	LOC100647351
N0.HOG0006290	OG0006034	n0	LOC126921175	LOC117206437	LOC122573363	LOC105666338
N0.HOG0006291	OG0006035	n0	LOC126921181	LOC117206438	LOC122573364	LOC100647473
N0.HOG0006292	OG0006036	n0	LOC126921173	LOC117206436	LOC122573362	LOC100647702
N0.HOG0006293	OG0006037	n0	LOC126921164	LOC117206433	LOC122573359	LOC100647588
N0.HOG0006294	OG0006038	n0	LOC126921162	LOC117206432	LOC122573357	LOC100647938
N0.HOG0006295	OG0006039	n0	LOC126921169	LOC117206435	LOC122573361	LOC100648335
N0.HOG0006296	OG0006040	n0	LOC126921167	LOC117206393	LOC122573414	LOC100648451
N0.HOG0006297	OG0006041	n0	LOC126921285	LOC117206422	LOC122573609	LOC100648569
N0.HOG0006298	OG0006042	n0	LOC126921170	LOC117206336	LOC122573606	LOC100648688
N0.HOG0006299	OG0006043	n0	LOC126921182	LOC117206391	LOC122573607	LOC100647818
N0.HOG0006300	OG0006044	n0	LOC126921185	LOC117206429	LOC122573331	LOC105666364
N0.HOG0006301	OG0006045	n0	LOC126921154	LOC117206444	LOC122573288	LOC100648796
N0.HOG0006302	OG0006046	n0	LOC126921171	LOC117206389	LOC122573292	LOC100647939
N0.HOG0006303	OG0006047	n0	LOC126921152	LOC117206320	LOC122573289	LOC100649188
N0.HOG0006304	OG0006048	n0	LOC126921153	LOC117206321	LOC122573290	LOC100649307
N0.HOG0006305	OG0006049	n0	LOC126921156	LOC117206322	LOC122573291	LOC100648067
N0.HOG0006306	OG0006050	n0	LOC126921180	LOC117206324	LOC122573294	LOC100649550
N0.HOG0006307	OG0006051	n0	LOC126921184	LOC117206325	LOC122573297	LOC110119780
N0.HOG0006308	OG0006052	n0	LOC126921176	LOC117206323	LOC122573293	LOC105666340
N0.HOG0006309	OG0006053	n0	LOC126921178	LOC117206319	LOC122573985	LOC100649424
N0.HOG0006310	OG0006054	n0	LOC126921179	LOC117206318	LOC122573986	LOC100650125
N0.HOG0006311	OG0006055	n0	LOC126921160	LOC117206317	LOC122573982	LOC100649893
N0.HOG0006312	OG0006056	n0	LOC126921177	LOC117206362	LOC122573984	LOC100650008
N0.HOG0006313	OG0006057	n0	LOC126921391	LOC117206340	LOC122573981	LOC100650372
N0.HOG0006314	OG0006058	n0	LOC126921392	LOC117206341	LOC122573456	LOC100650573
N0.HOG0006315	OG0006059	n0	LOC126921396	LOC117206328	LOC122573457	LOC100650821
N0.HOG0006316	OG0006060	n0	LOC126921395	LOC117206327	LOC122573819	LOC100650698
N0.HOG0006317	OG0006061	n0	LOC126921393	LOC117206329	LOC122573818	LOC100650935
N0.HOG0006318	OG0006062	n0	LOC126921394	LOC117206326	LOC122573785	LOC100651050
N0.HOG0006319	OG0006063	n0	LOC126921286	LOC117206313	LOC122573788	LOC105666365
N0.HOG0006320	OG0006064	n0	LOC126921389	LOC117206312	LOC122573782	LOC100648179
N0.HOG0006321	OG0006065	n0	LOC126921336	LOC117206346	LOC122573786	LOC100648294
N0.HOG0006322	OG0006066	n0	LOC126921338	LOC117206344	LOC122573787	LOC100651172
N0.HOG0006323	OG0006067	n0	LOC126921335	LOC117206342	LOC122573784	LOC100648531
N0.HOG0006324	OG0006068	n0	LOC126921337	LOC117206331	LOC122573821	LOC100651294
N0.HOG0006325	OG0006069	n0	LOC126921339	LOC117206332	LOC122573822	LOC100651497
N0.HOG0006326	OG0006070	n0	LOC126921407	LOC117206311	LOC122573438	LOC100648652
N0.HOG0006327	OG0006071	n0	LOC126921077	LOC117206345	LOC122573450	LOC100651848
N0.HOG0006328	OG0006072	n0	LOC126921082	LOC117206418	LOC122573841	LOC100651966
N0.HOG0006329	OG0006073	n0	LOC126921081	LOC117206356	LOC122573590	LOC100652291
N0.HOG0006330	OG0006074	n0	LOC126921084	LOC117206358	LOC122573594	LOC100642381
N0.HOG0006331	OG0006075	n0	LOC126921070	LOC117206353	LOC122573589	LOC100642260
N0.HOG0006332	OG0006076	n0	LOC126921067	LOC117206352	LOC122573588	LOC100648765
N0.HOG0006333	OG0006077	n0	LOC126921065	LOC117206424	LOC122573623	LOC100648878
N0.HOG0006334	OG0006078	n0	LOC126921066	LOC117206392	LOC122573480	LOC105666344
N0.HOG0006335	OG0006079	n0	LOC126921289	LOC117206421	LOC122573728	LOC110119754
N0.HOG0006336	OG0006080	n0	LOC126921064	LOC117206308	LOC122573326	LOC100643056
N0.HOG0006337	OG0006081	n0	LOC126921063	LOC117207431	LOC122573734	LOC100643173
N0.HOG0006338	OG0006082	n0	LOC126921061	LOC117207430	LOC122573733	LOC100643499
N0.HOG0006339	OG0006083	n0	LOC126921083	LOC117207437	LOC122573682	LOC100643821
N0.HOG0006340	OG0006084	n0	LOC126921069	LOC117207435	LOC122573680	LOC100644072
N0.HOG0006341	OG0006085	n0	LOC126921087	LOC117207447	LOC122573683	LOC100644187
N0.HOG0006342	OG0006086	n0	LOC126921072	LOC117207446	LOC122573681	LOC100644615
N0.HOG0006343	OG0006087	n0	LOC126921068	LOC117207445	LOC122573679	LOC100644494
N0.HOG0006344	OG0006088	n0	LOC126921290	LOC117207458	LOC122573417	LOC105666368
N0.HOG0006345	OG0006089	n0	LOC126921062	LOC117207455	LOC122573415	LOC100649348
N0.HOG0006346	OG0006090	n0	LOC126921071	LOC117207456	LOC122573416	LOC100644859
N0.HOG0006347	OG0006091	n0	LOC126921080	LOC117207457	LOC122573989	LOC100645095
N0.HOG0006348	OG0006092	n0	LOC126921085	LOC117207459	LOC122573990	LOC100644975
N0.HOG0006349	OG0006093	n0	LOC126921059	LOC117207454	LOC122573988	LOC100649591
N0.HOG0006350	OG0006094	n0	LOC126921054	LOC117207485	LOC122573442	LOC100645211
N0.HOG0006351	OG0006095	n0	LOC126921041	LOC117207479	LOC122573439	LOC100645341
N0.HOG0006352	OG0006096	n0	LOC126921044	LOC117207480	LOC122573440	LOC100645461
N0.HOG0006353	OG0006097	n0	LOC126921052	LOC117207484	LOC122573441	LOC100645569
N0.HOG0006354	OG0006098	n0	LOC126921032	LOC117207477	LOC122573351	LOC100645771
N0.HOG0006355	OG0006099	n0	LOC126921045	LOC117207481	LOC122573342	LOC100649705
N0.HOG0006356	OG0006100	n0	LOC126921035	LOC117207478	LOC122573338	LOC100649822
N0.HOG0006357	OG0006101	n0	LOC126921050	LOC117207483	LOC122573348	LOC100649941
N0.HOG0006358	OG0006102	n0	LOC126921036	LOC117207448	LOC122573339	LOC100646004
N0.HOG0006359	OG0006103	n0	LOC126921049	LOC117207423	LOC122573346	LOC100646194
N0.HOG0006360	OG0006104	n0	LOC126921033	LOC117207418	LOC122573337	LOC100646432
N0.HOG0006361	OG0006105	n0	LOC126921291	LOC117207422	LOC122573344	LOC100650171
N0.HOG0006362	OG0006106	n0	LOC126921038	LOC117207419	LOC122573340	LOC100646674
N0.HOG0006363	OG0006107	n0	LOC126921055	LOC117207424	LOC122573350	LOC100646920
N0.HOG0006364	OG0006108	n0	LOC126921047	LOC117207421	LOC122573343	LOC100646796
N0.HOG0006365	OG0006109	n0	LOC126921040	LOC117207420	LOC122573341	LOC100647195
N0.HOG0006366	OG0006110	n0	LOC126921030	LOC117207417	LOC122573336	LOC100647311
N0.HOG0006367	OG0006111	n0	LOC126921046	LOC117207450	LOC122573345	LOC100647432
N0.HOG0006368	OG0006112	n0	LOC126921051	LOC117207451	LOC122573349	LOC100647547
N0.HOG0006369	OG0006113	n0	LOC126921037	LOC117207426	LOC122573328	LOC100647748
N0.HOG0006370	OG0006114	n0	LOC126921043	LOC117207427	LOC122573329	LOC100647870
N0.HOG0006371	OG0006115	n0	LOC126921056	LOC117207428	LOC122573330	LOC105666345
N0.HOG0006372	OG0006116	n0	LOC126921042	LOC117207429	LOC122573842	LOC100647990
N0.HOG0006373	OG0006117	n0	LOC126921048	LOC117207462	LOC122573843	LOC100651579
N0.HOG0006374	OG0006118	n0	LOC126921415	LOC117207453	LOC122573444	LOC100648177
N0.HOG0006375	OG0006119	n0	LOC126921401	LOC117207400	LOC122573445	LOC100648650
N0.HOG0006376	OG0006120	n0	LOC126920876	LOC117207401	LOC122573483	LOC105666346
N0.HOG0006377	OG0006121	n0	LOC126920838	LOC117207399	LOC122573482	LOC100649464
N0.HOG0006378	OG0006122	n0	LOC126920828	LOC117207443	LOC122573307	LOC100648763
N0.HOG0006379	OG0006123	n0	LOC126920868	LOC117207444	LOC122573311	LOC100650615
N0.HOG0006380	OG0006124	n0	LOC126920862	LOC117207405	LOC122573310	LOC105666347
N0.HOG0006381	OG0006125	n0	LOC126920875	LOC117207406	LOC122573312	LOC100651696
N0.HOG0006382	OG0006126	n0	LOC126920860	LOC117207403	LOC122573309	LOC100650414
N0.HOG0006383	OG0006127	n0	LOC126920834	LOC117207402	LOC122573308	LOC100649226
N0.HOG0006384	OG0006128	n0	LOC126920869	LOC117207472	LOC122573711	LOC100651380
N0.HOG0006385	OG0006129	n0	LOC126920843	LOC117207468	LOC122573705	LOC100650496
N0.HOG0006386	OG0006130	n0	LOC126920859	LOC117207470	LOC122573709	LOC100650739
N0.HOG0006387	OG0006131	n0	LOC126920849	LOC117207469	LOC122573706	LOC100649940
N0.HOG0006388	OG0006132	n0	LOC126920867	LOC117207471	LOC122573710	LOC100650857
N0.HOG0006389	OG0006133	n0	LOC126920841	LOC117207466	LOC122573702	LOC100649820
N0.HOG0006390	OG0006134	n0	LOC126920842	LOC117207467	LOC122573704	LOC100649108
N0.HOG0006391	OG0006135	n0	LOC126920832	LOC117207464	LOC122573698	LOC100649703
N0.HOG0006392	OG0006136	n0	LOC126920839	LOC117207465	LOC122573701	LOC100648876
N0.HOG0006393	OG0006137	n0	LOC126920872	LOC117207473	LOC122573712	LOC100651258
N0.HOG0006394	OG0006138	n0	LOC126920826	LOC117207463	LOC122573696	LOC100649346
N0.HOG0006395	OG0006139	n0	LOC126920854	LOC117207441	LOC122573707	LOC100650051
N0.HOG0006396	OG0006140	n0	LOC126920823	LOC117207440	LOC122573695	LOC100648293
N0.HOG0006397	OG0006141	n0	LOC126920835	LOC117207452	LOC122573700	LOC100648529
N0.HOG0006398	OG0006142	n0	LOC126920852	LOC117207461	LOC122573693	LOC100650170
N0.HOG0006399	OG0006143	n0	LOC126920821	LOC117207407	LOC122573686	LOC100631073
N0.HOG0006400	OG0006144	n0	LOC126920853	LOC117207410	LOC122573688	LOC100650297
N0.HOG0006401	OG0006145	n0	LOC126920856	LOC117207411	LOC122573689	LOC100642294
N0.HOG0006402	OG0006146	n0	LOC126920863	LOC117207412	LOC122573691	LOC100642414
N0.HOG0006403	OG0006147	n0	LOC126920831	LOC117207409	LOC122573687	LOC100652133
N0.HOG0006404	OG0006148	n0	LOC126920830	LOC117207408	LOC122573943	LOC100642532
N0.HOG0006405	OG0006149	n0	LOC126920833	LOC117207415	LOC122573944	LOC100642651
N0.HOG0006406	OG0006150	n0	LOC126920850	LOC117210278	LOC122573555	LOC100643822
N0.HOG0006407	OG0006151	n0	LOC126920879	LOC117210277	LOC122573551	LOC100643459
N0.HOG0006408	OG0006152	n0	LOC126920858	LOC117210279	LOC122573557	LOC100643255
N0.HOG0006409	OG0006153	n0	LOC126920877	LOC117210281	LOC122573559	LOC100643949
N0.HOG0006410	OG0006154	n0	LOC126920829	LOC117210291	LOC122573550	LOC100644340
N0.HOG0006411	OG0006155	n0	LOC126920844	LOC117210295	LOC122573553	LOC100650536
N0.HOG0006412	OG0006156	n0	LOC126920848	LOC117210292	LOC122573554	LOC100644692
N0.HOG0006413	OG0006157	n0	LOC126920874	LOC117210296	LOC122573558	LOC100644818
N0.HOG0006414	OG0006158	n0	LOC126920857	LOC117210294	LOC122573556	LOC100644574
N0.HOG0006415	OG0006159	n0	LOC126920820	LOC117210029	LOC122573739	LOC100650780
N0.HOG0006416	OG0006160	n0	LOC126920840	LOC117210022	LOC122573749	LOC100644457
N0.HOG0006417	OG0006161	n0	LOC126920846	LOC117210023	LOC122573752	LOC100644938
N0.HOG0006418	OG0006162	n0	LOC126920819	LOC117210018	LOC122573737	LOC100645212
N0.HOG0006419	OG0006163	n0	LOC126920825	LOC117210020	LOC122573743	LOC100645342
N0.HOG0006420	OG0006164	n0	LOC126920861	LOC117210024	LOC122573759	LOC100645462
N0.HOG0006421	OG0006165	n0	LOC126920873	LOC117210026	LOC122573764	LOC100645570
N0.HOG0006422	OG0006166	n0	LOC126920865	LOC117210025	LOC122573763	LOC100645805
N0.HOG0006423	OG0006167	n0	LOC126920836	LOC117210021	LOC122573748	LOC100650897
N0.HOG0006424	OG0006168	n0	LOC126921230	LOC117210201	LOC122573741	LOC100645921
N0.HOG0006425	OG0006169	n0	LOC126921248	LOC117210205	LOC122573757	LOC100651015
N0.HOG0006426	OG0006170	n0	LOC126921234	LOC117210203	LOC122573747	LOC100646035
N0.HOG0006427	OG0006171	n0	LOC126921255	LOC117210207	LOC122573761	LOC100651136
N0.HOG0006428	OG0006172	n0	LOC126921244	LOC117210204	LOC122573753	LOC100646268
N0.HOG0006429	OG0006173	n0	LOC126921233	LOC117210202	LOC122573745	LOC100646632
N0.HOG0006430	OG0006174	n0	LOC126921242	LOC117210076	LOC122573750	LOC105666351
N0.HOG0006431	OG0006175	n0	LOC126921243	LOC117210332	LOC122573725	LOC105666352
N0.HOG0006432	OG0006176	n0	LOC126921292	LOC117210333	LOC122573758	F3
N0.HOG0006433	OG0006177	n0	LOC126921264	LOC117210334	LOC122573766	LOC100647232
